Site,Tortoise ,Mass (g),Straight Carapace Length (mm),Plaston length (mm),Carapace Width (mm),Height (mm),Sex,Class,Ticks Count,Lattitude (N),Longitude (W),Date
Dunes,3D9 1A8 AED F7A9,203,103,93,81,49,J,Juvenile,1,30.11901,-81.34566,
Dunes,3D9 1A8 AEE F0AD,176,98,86,76,44,J,Juvenile,0,30.11783,-81.34538,
Dunes,3D9 1A8 AED F942,3682,276,248,207,121,M,Adult,15,30.11668,-81.34521,
Dunes,3D9 1A8 AED F9B1,4895,305,270,224,127,F?,Adult,9,30.11745,-81.34538,
Dunes,3D9 1A8 AED FA4E,3581,276,246,201,120,F,Adult,8,30.1174,-81.34499,
Dunes,3D9 1A8 AED FC4C,3290,263,262,191,107,M,Adult,8,30.1184,-81.33319,
Dunes,3D9 1A8 AED FC82,1600,207,184,154,85,M,Subadult,3,30.1192,-81.3451,
Dunes,3D9 1A8 AEE F0D2,2685,250,221,180,102,F,Adult,8,30.11791,-81.34539,
Dunes,3D9 1A8 AEE F0C2,1226,195,180,135,80,J,Subadult,2,30.11781,-81.34537,
Dunes,3D9 1A8 AED F880,503,139,124,108,61,J,Subadult,0,30.1181,-81.34537,
Dunes,3D9 1A8 AED FC8F,363,133,120,99,53,J,Subadult,0,30.12073,-81.34499,
Dunes,3D9 IA8 AED F8D8,1755,185,191,163,95,F,Subadult,2,,,
Dunes,3D9 1A8 AEE F430,124,86,76,68,38,J,Juvenile,0,,,
Dunes,3D9 1A8 AED F7F9,159,94,80,76,39,J,Juvenile,0,30.117404,-81.345559,
Dunes,3D9 1A8 AED FBB1,1440,197,177,146,89,F?,Subadult,4,30.117414,-81.345534,
Peninsula,3D9 1A8 AED F9F5,284,114,102,89,57,J,Juvenile,0,30.02225,-81.33241,7-Oct
Peninsula,3D9 1A8 AED F8E5,1561,215,198,157,84,F,Subadult,0,30.0225,-81.33167,7-Oct
Peninsula,3D9 1A8 AED FBB4,3079,252,236,194,112,M,Adult,0,30.02222,-81.33194,7-Oct
Peninsula,3D9 1A8 AEE F09F,4726,314,288,227,123,F,Adult,0,30.02235,-81.33241,7-Oct
Peninsula,3D9 1A8 AEE F59C,3739,286,261,205,116,F,Adult,0,30.11713,-81.34531,7-Oct
Peninsula,3D9 1A8 AED FBC7,97,79,75,63,40,J,Juvenile,0,30.022267,-81.332063,14-Oct
Peninsula,3D9 1A8 AEE F0A4,1991,219,208,168,102,M,Subadult,0,30.0225,-81.33459,20-Oct
Peninsula,3D9 1A8 AED FBFI,4454,289,269,223,124,M,Adult,0,30.022486,-81.331061,22-Oct
Peninsula,3D9 1A8 AED FC7B,1741,215,196,165,91,F,Subadult,0,,,
Peninsula,3D9 1A8 AED FBF5,52,61,59,53,33,J,Juvenile,0,,,
Peninsula,3D9 1A8 AED FC41,168,96,90,77,46,J,Juvenile,0,,,
Peninsula,3D9 1A8 AED FD55,692,155,146,115,65,,Subadult,0,,,
Peninsula,3D9 1A8 AED F8F1,3060,255,235,197,110,,Adult,0,,,
Peninsula,3D9 1A8 AED FC14,1334,202,189,143,81,,Subadult,0,,,
